Network,Program,VOD Episode Start
,,3051
,the magicians,0
awe,,0
awe,csi,0
awe,House,0
bravo,,0
bravo,Apres Ski,0
bravo,Below Deck,0
bravo,Below Deck Mediterreanean,0
bravo,Best New Restaurant,1
bravo,blood sweat and heels,0
bravo,bravo live,0
bravo,"buy gold, at-cost!",0
bravo,Dont Be Tardy,0
bravo,Girlfriends Guide to Divorce,555
bravo,in love with someone else,0
bravo,Inside the Actors Studio,0
bravo,jersey belle,0
bravo,Ladies of London,0
bravo,manzo'd with children,0
bravo,Manzod With Children,0
bravo,Married to Medicine,0
bravo,Million Dollar Listing Los Angeles,0
bravo,million dollar listing new york,0
bravo,Million Dollar Listing San Francisco,0
bravo,Mother Funders,0
bravo,My Fab 40th,0
bravo,Newlyweds The First Year,3
bravo,newlyweds: the first year,284
bravo,no more wrinkles! say byebye now and look younger!,0
bravo,no title,8
bravo,Odd Mom Out,0
bravo,Recipe for Deception,220
bravo,Secrets and Wives,0
bravo,shahs of sunset,0
bravo,Southern Charm,60
bravo,the millionaire matchmaker,0
bravo,The People's Couch,0
bravo,The Real Housewives of Atlanta,0
bravo,The Real Housewives of Beverly Hills,29028
bravo,The Real Housewives of Cheshire,0
bravo,The Real Housewives of Dallas,0
bravo,the real housewives of melbourne,0
bravo,the real housewives of new jersey,0
bravo,The Real Housewives of New York City,0
bravo,The Real Housewives of Orange County,1
bravo,The Real Housewives of Potomac,3543
bravo,There Goes the Motherhood,0
bravo,Thicker Than Water,3
bravo,toned up,0
bravo,Top Chef,2171
bravo,Tour Group,441
bravo,try total gym for $14.95,0
bravo,Untying the Knot,0
bravo,Vanderpump Rules,15284
bravo,vanderpump rules after show,134
bravo,Watch What Happens Live,3510
bravo,watch what happens: live,0
bravo,Work Out New York,0
CNBC,,0
CNBC,--,0
CNBC,A Wall Street Wonder Takes a Fall,0
CNBC,access africa,0
CNBC,american greed,23
CNBC,asia squawk box,0
CNBC,Asia: Squawk Box,0
CNBC,autos,0
CNBC,big crunch election,0
CNBC,blue collar millionaires,6
CNBC,bottom line,0
CNBC,bridging the divide,0
CNBC,capital connection,0
CNBC,ceraweek,0
CNBC,cize dance workout!,0
CNBC,closing bell,0
CNBC,cnbc explains,0
CNBC,cnbc global cfo council,0
CNBC,cnbc live tv,0
CNBC,Cnbc Meets,0
CNBC,CNBC Originals,1
CNBC,cnbc premium,0
CNBC,cnbc pro talks,0
CNBC,cnbc.com,0
CNBC,cnbcx,0
CNBC,consumed: the real restaurant business,1
CNBC,Cramer Remix,0
CNBC,Crime,0
CNBC,defense,0
CNBC,digital first,0
CNBC,economy,0
CNBC,elections,0
CNBC,energy commodities,0
CNBC,entertainment,0
CNBC,europe video,0
CNBC,europe: news,0
CNBC,european closing bell,0
CNBC,executive edge,0
CNBC,fast money,322
CNBC,fast money halftime report,0
CNBC,finance,0
CNBC,futures,0
CNBC,futures now,0
CNBC,futures now video,0
CNBC,intl dv team,0
CNBC,investing,0
CNBC,Jay Leno's Garage,7
CNBC,Leadership,0
CNBC,luxury,0
CNBC,mad money,334
CNBC,make it,0
CNBC,managing asia,0
CNBC,millionaires and billionaires,0
CNBC,nightly business report,0
CNBC,no title,0
CNBC,options action,0
CNBC,paid programming,0
CNBC,politics,0
CNBC,power lunch,0
CNBC,power pitch,0
CNBC,pro live tv:Asia,0
CNBC,pro live tv:Europe,0
CNBC,pro live tv:US,0
CNBC,restaurant startup,21
CNBC,retail,0
CNBC,retire well,0
CNBC,secret lives of the super rich,0
CNBC,shark tank,43
CNBC,Small Business,0
CNBC,south by southwest,0
CNBC,speakeasy,0
CNBC,sports,0
CNBC,squawk alley,3
CNBC,squawk box,0
CNBC,squawk box europe,0
CNBC,squawk box u.s.,0
CNBC,squawk on the street,0
CNBC,Stocks,0
CNBC,street signs asia,0
CNBC,street signs europe,0
CNBC,Talking Numbers,0
CNBC,tech transformers,0
CNBC,the bottom line,0
CNBC,the car chasers,0
CNBC,the etf trade,0
CNBC,The Fed,0
CNBC,the filthy rich guide,22
CNBC,"The Filthy Rich Guide to Billionaire Clothes, Neighborhood Feuds and Parking Your Supercar",0
CNBC,"The Filthy Rich Guide to Living in Dubai, Buying London and Making Your Own Monument",0
CNBC,"The Filthy Rich Guide to Self Defense, Playing God, and Buying History",0
CNBC,the profit,54
CNBC,the pulse,0
CNBC,The Rundown,0
CNBC,thicker hair - guaranteed!,0
CNBC,trading nation,0
CNBC,travel,0
CNBC,tutorial,0
CNBC,undercover boss,4
CNBC,west texas investors club,1
CNBC,world economy,0
CNBC,worldwide exchange,0
CNBC,young money,0
CNBC,Your Money Your Future,0
e,The Great Kris,2
E!,,0
E!,derm exclusive!,0
E!,drop your cize!,0
E!,e! live,0
E!,e! news,0
E!,fashion police,0
E!,hollywood medium with tyler henry,1636
E!,I Am Cait,1567
E!,Just Jillian,764
E!,keeping up with the kardashians,1417
E!,l.a. clippers dance squad,0
E!,la clippers dance squad,959
E!,new! get cindy crawford's anti-aging discovery,0
E!,no more wrinkles! say byebye now and look younger!,0
E!,no title,1
E!,sex and the city,0
E!,the e! true hollywood story,0
E!,total divas,4990
E!,try total gym for $14.95,0
Esquire,,0
Esquire,air force one,0
Esquire,American Ninja Warrior,60
Esquire,beowulf,87
Esquire,Best Bars In America,10
Esquire,Brew Dogs,7
Esquire,Burn Notice,0
Esquire,Car Matchmaker,0
Esquire,cize dance workout!,0
Esquire,esquire live,0
Esquire,Esquire's Car of the Year,0
Esquire,fish oil benefits examined,0
Esquire,Friday Night Tykes,1339
Esquire,friday night tykes: steel country,0
Esquire,Going Deep with David Rees,11
Esquire,green tea,0
Esquire,House,0
Esquire,Knife Fight,9
Esquire,My Deal With The Devil,1
Esquire,no title,0
Esquire,Running of the Bulls,0
Esquire,Team Ninja Warrior,114
Esquire,The Agent,12
Esquire,The Next Great Burger,0
Esquire,The Runner-Up,0
Esquire,thicker hair - guaranteed!,0
Esquire,uncorked,15
msnbc,,0
msnbc,all in with chris hayes,107
msnbc,Caught on Camera,33
msnbc,clinton town hall,0
msnbc,first look,0
msnbc,Hardball with Chris Matthews,0
msnbc,lockup,56
msnbc,Morning Joe,1596
msnbc,msnbc live,0
msnbc,msnbc specials,6
msnbc,mtp daily,3
msnbc,no title,0
msnbc,PoliticsNation,0
msnbc,special edition of hardball with chris matthews: president's question time,0
msnbc,The Last Word with Lawrence O'Donnell,94
msnbc,the place for politics 2016,0
msnbc,the rachel maddow show,547
msnbc,Up with Steve Kornacki,0
msnbc,way too early,0
msnbc,with all due respect,0
NBC,,0
NBC,2 fast 2 furious,0
NBC,6 in the mix,0
NBC,Access Hollywood,0
NBC,Access Hollywood Live,0
NBC,Amazing Stories,119
NBC,Aquarius,100
NBC,Arrested,0
NBC,Battlestar Galactica Classic,58
NBC,Blindspot,19582
NBC,breaking news,0
NBC,Burn Notice,7
NBC,Caught on Camera,284
NBC,Caught on Camera with Nick Cannon,216
NBC,Charles in Charge,86
NBC,Chicago Fire,2332
NBC,Chicago Med,2781
NBC,Chicago P.D.,3306
NBC,CHRISLEY KNOWS BEST,26
NBC,colony,2
NBC,Crossbones,201
NBC,Crowded,14505
NBC,csi,1
NBC,Dateline,7294
NBC,Dateline Saturday Night Mystery,3090
NBC,Days of our Lives,22685
NBC,deception,138
NBC,Do No Harm,4
NBC,Donny!,0
NBC,Dracula,346
NBC,Early Today,0
NBC,extra,0
NBC,Grimm,3347
NBC,Growing Up Fisher,216
NBC,Guys With Kids,569
NBC,Heroes Reborn,1290
NBC,Heroes Reborn - Dark Matters,0
NBC,High Seas,0
NBC,Hollywood Game Night,452
NBC,House,1
NBC,Jay Leno's Garage,13
NBC,Jeopardy!,0
NBC,Kings,171
NBC,knbc x,0
NBC,Knight Rider,493
NBC,Knight Rider Classic,189
NBC,knsd x,0
NBC,kntvx,0
NBC,kxas x,0
NBC,Last Call With Carson Daly,0
NBC,Late Night with Seth Meyers,697
NBC,Law & Order: Special Victims Unit,4682
NBC,Life,112
NBC,Lipstick Jungle,215
NBC,Little Big Shots,12604
NBC,mad money,0
NBC,Marine Down,0
NBC,Meet the Press,523
NBC,Miami Vice,183
NBC,Minimum Security,0
NBC,Mr. Robot,3
NBC,Must See TV: An All-Star Tribute to James Burrows,105
NBC,NBC 5 First at Four,0
NBC,nbc 5 news at 10,0
NBC,NBC 5 News at 11AM,0
NBC,NBC 5 News at 4,0
NBC,NBC 5 News at 4:30,0
NBC,NBC 5 News at 4:30AM,0
NBC,NBC 5 News at 5,0
NBC,NBC 5 News at 5:30AM,0
NBC,NBC 5 News at 5AM,0
NBC,NBC 5 News at 6,0
NBC,NBC 5 News at 6AM,0
NBC,NBC 5 Today at 11,0
NBC,NBC 5 Today at 4:30am,0
NBC,NBC 5 Today at 5,0
NBC,NBC 5 Today at 5:30,0
NBC,NBC 5 Today at 6,0
NBC,NBC 6 South Florida News at 11pm,0
NBC,NBC 6 South Florida News at 5:30pm,0
NBC,NBC 6 South Florida News at 5pm,0
NBC,NBC 6 South Florida News at 6pm,0
NBC,nbc 6 south florida today at 11am,0
NBC,NBC 6 South Florida Today at 4:30am,0
NBC,nbc 6 south florida today at 5:30am,0
NBC,NBC 6 South Florida Today at 5am,0
NBC,NBC 6 South Florida Today at 6am,0
NBC,NBC 7 News at 11,0
NBC,NBC 7 News at 4,0
NBC,NBC 7 News at 5,0
NBC,NBC 7 News at 6,0
NBC,NBC 7 News Midday,0
NBC,NBC 7 News Today,0
NBC,NBC Bay Area News at 11,0
NBC,NBC Bay Area News at 11AM,0
NBC,NBC Bay Area News at 5,0
NBC,NBC Bay Area News at 6,0
NBC,nbc ct news 5:30pm,0
NBC,NBC CT News at 11pm,0
NBC,NBC CT News at 5pm,0
NBC,NBC CT News at 6pm,0
NBC,NBC CT News Today,0
NBC,nbc ct news today at 11am,0
NBC,NBC CT News Today at 5:30am,0
NBC,NBC CT News Today at 5am,0
NBC,NBC CT News Today at 6:30am,0
NBC,NBC CT News Today at 6am,0
NBC,NBC Nightly News,326
NBC,NBC Nightly News With Lester Holt,0
NBC,NBC10 News at 11pm,0
NBC,NBC10 News at 4pm,0
NBC,NBC10 News at 5pm,0
NBC,NBC10 News at 6pm,0
NBC,NBC10 News Today 11am,0
NBC,NBC10 News Today at 4:30am,0
NBC,nbc10 news today at 5:30am,0
NBC,NBC10 News Today at 5am,0
NBC,NBC10 News Today at 6am,0
NBC,NBC4 News at 11 pm,0
NBC,NBC4 News at 5 pm,0
NBC,NBC4 News at 6 pm,0
NBC,NBC4 News at Noon,0
NBC,NBC4 Today in LA,0
NBC,new york live,0
NBC,News 4 New York at 11,0
NBC,news 4 new york at 5,0
NBC,news 4 new york at 5:30,0
NBC,news 4 new york at 6,0
NBC,News 4 New York at Noon,0
NBC,News4 at 11,0
NBC,News4 at 4,0
NBC,News4 at 5,0
NBC,News4 at 6,0
NBC,news4 midday,0
NBC,News4 Today at 4:30,0
NBC,News4 Today at 5,0
NBC,News4 Today at 6,0
NBC,no title,1
NBC,Open House of Horrors,0
NBC,Outsourced,127
NBC,Playing House,5
NBC,Quantum Leap,174
NBC,Royal Pains,2
NBC,satisfaction,3
NBC,Saturday Night Live,4909
NBC,Sea Dog,0
NBC,Shades of Blue,7970
NBC,Shades of Blue en Espanol,235
NBC,Steve Harvey,0
NBC,Sub Rosa,0
NBC,SUITS,3
NBC,Superstore,3292
NBC,Telenovela,1234
NBC,Telenovela en Espanol,123
NBC,The Biggest Loser,468
NBC,The Black Donnellys,89
NBC,The Blacklist,4463
NBC,The Cape,56
NBC,The Carmichael Show,3963
NBC,The Curse,0
NBC,The Ellen DeGeneres Show,0
NBC,The Event,64
NBC,the fast and the furious,0
NBC,the fast and the furious: tokyo drift,0
NBC,The Immortals,0
NBC,The Meredith Vieira Show,0
NBC,The Mysteries of Laura,1711
NBC,The Player,230
NBC,The Tonight Show Starring Jimmy Fallon,3433
NBC,The Voice,28147
NBC,The Wiz Live!,0
NBC,Today,0
NBC,Today in New York,0
NBC,Today in the Bay,0
NBC,Truth Be Told,633
NBC,Undateable,173
NBC,Up All Night,402
NBC,wcau x,0
NBC,Wheel of Fortune,0
NBC,Whitney,435
NBC,wmaq x,0
NBC,wnbcx,0
NBC,wrcx,0
NBC,WTVJ X,0
NBC,WVIT X,0
NBC,You Me and the Apocalypse,1425
NBC,"you, me and the apocalypse",1126
NBC UNIVERSO,,0
NBC UNIVERSO,12 Corazones,25
NBC UNIVERSO,childhood's end,1
NBC UNIVERSO,festival intl de vi¤a del mar,1
NBC UNIVERSO,Fuerza Especial,4
NBC UNIVERSO,fugitivos de la ley: los angeles,0
NBC UNIVERSO,gerardo ortiz,28
NBC UNIVERSO,gran hermano: la novela,0
NBC UNIVERSO,Heroes,0
NBC UNIVERSO,I Love Jenni,106
NBC UNIVERSO,larryman&#237;a,0
NBC UNIVERSO,Larrymania,148
NBC UNIVERSO,Liga MX 2016,1
NBC UNIVERSO,nbc universo,0
NBC UNIVERSO,NBC Universo Movies,1
NBC UNIVERSO,Premier League,0
NBC UNIVERSO,Prison Break,36
NBC UNIVERSO,son mariachis,3
NBC UNIVERSO,superhumanos,1
NBC UNIVERSO,superhumanos de stan lee,0
NBC UNIVERSO,The Walking Dead,30
NBC UNIVERSO,top chef mexico,13
NBC UNIVERSO,universo: rex,0
NBC UNIVERSO,Vi¤a del Mar,0
NBC UNIVERSO,wwe,14
nbcentertainment,Amazing Stories,29
nbcentertainment,An All-Star Tribute to James Burrows,0
nbcentertainment,Aquarius,0
nbcentertainment,Battlestar Galactica,3
nbcentertainment,Blindspot,3233
nbcentertainment,Caught on Camera with Nick Cannon,12
nbcentertainment,Charles in Charge,24
nbcentertainment,Chicago Fire,200
nbcentertainment,Chicago Med,591
nbcentertainment,Chicago P.D.,393
nbcentertainment,Crossbones,2
nbcentertainment,Crowded,4077
nbcentertainment,Dateline,1924
nbcentertainment,Dateline 02-13,0
nbcentertainment,Days of our Lives,3970
nbcentertainment,deception,14
nbcentertainment,Do No Harm,6
nbcentertainment,Dracula,11
nbcentertainment,Grimm,454
nbcentertainment,Growing Up Fisher,2
nbcentertainment,Guys With Kids,18
nbcentertainment,Heroes Reborn,96
nbcentertainment,Hollywood Game Night,18
nbcentertainment,Jay Leno's Garage,0
nbcentertainment,Kings,12
nbcentertainment,Knight Rider,23
nbcentertainment,Knight Rider Classic,43
nbcentertainment,Late Night: Seth Meyers,57
nbcentertainment,Law & Order: SVU,586
nbcentertainment,Life,9
nbcentertainment,Lipstick Jungle,20
nbcentertainment,Little Big Shots,2467
nbcentertainment,Meet the Press,35
nbcentertainment,Miami Vice,8
nbcentertainment,NBC Nightly News,26
nbcentertainment,Outsourced,16
nbcentertainment,Quantum Leap,13
nbcentertainment,Saturday Night Live,349
nbcentertainment,Shades of Blue,1304
nbcentertainment,Shades of Blue en Espa¤ol,18
nbcentertainment,Superstore,832
nbcentertainment,Telenovela,188
nbcentertainment,Telenovela en Espa¤ol,19
nbcentertainment,The Biggest Loser,13
nbcentertainment,The Black Donnellys,4
nbcentertainment,The Blacklist,1194
nbcentertainment,The Cape,11
nbcentertainment,The Carmichael Show,403
nbcentertainment,The Event,17
nbcentertainment,The Mysteries of Laura,73
nbcentertainment,The Night Shift,0
nbcentertainment,The Voice,2513
nbcentertainment,Tonight Show: Jimmy Fallon,395
nbcentertainment,Truth Be Told,81
nbcentertainment,Undateable,17
nbcentertainment,Up All Night,7
nbcentertainment,Whitney,23
nbcentertainment,"you, me and the apocalypse",686
Oxygen,,0
Oxygen,#killerpost,273
Oxygen,bad girls club,9521
Oxygen,Boss Nails,0
Oxygen,drop your cize!,0
Oxygen,Finding My Father,0
Oxygen,Fix My Choir,0
Oxygen,Fix My Mom,0
Oxygen,Funny Girls,0
Oxygen,i'm having their baby,0
Oxygen,identity theft: learn about it and how to get lifelock protection,0
Oxygen,It Takes A Sister,0
Oxygen,killer couples,0
Oxygen,killerpost,0
Oxygen,Living Different,0
Oxygen,My Crazy Love,0
Oxygen,my wife and kids,0
Oxygen,Nail'd It,0
Oxygen,naild it,0
Oxygen,no title,5
Oxygen,oxygen,0
Oxygen,paid programming,0
Oxygen,Player Gets Played,0
Oxygen,preachers of atlanta,252
Oxygen,Preachers of Detroit,0
Oxygen,preachers of l.a.,0
Oxygen,Preachers of LA,0
Oxygen,Pretty. Strong.,0
Oxygen,Rich in Faith,0
Oxygen,shocking snoring remedy!,0
Oxygen,Sisterhood of Hip Hop,0
Oxygen,Snapped,272
Oxygen,Snapped: Killer Couples,0
Oxygen,Snapped: She Made Me Do It,0
Oxygen,Street Art Throwdown,0
Oxygen,the prancing elites project,692
Oxygen,thicker hair - guaranteed!,0
Oxygen,try total gym for $14.95,0
Oxygen,Worst Post Ever: With Frankie Grande,0
Sprout,,0
Sprout,64 Zoo Lane,69
Sprout,Animal Mechanicals,82
Sprout,astroblast,486
Sprout,berenstain bears,143
Sprout,Boj,146
Sprout,Busy World of Richard Scarry,0
Sprout,Busytown Mysteries,28
Sprout,Caillou,330
Sprout,Chica Show,397
Sprout,Chloe's Closet,41
Sprout,Clangers,278
Sprout,earth to luna,48
Sprout,lazytown,93
Sprout,Lily's Driftwood Bay,8
Sprout,little people,0
Sprout,madeline,22
Sprout,Maya the Bee,376
Sprout,nina's world,555
Sprout,no title,0
Sprout,Noodle & Doodle,322
Sprout,noodle and doodle,0
Sprout,Paddington Bear,10
Sprout,pajanimals,0
Sprout,Poppy Cat,94
Sprout,"ruff-ruff, tweet and dave",474
Sprout,sarah & duck,256
Sprout,Sarah and Duck,42
Sprout,sprout live,0
Sprout,stella and sam,71
Sprout,Super Wings,1443
Sprout,sydney sailboat,57
Sprout,the berenstain bears,0
Sprout,the chica show,126
Sprout,The Floogals,1103
Sprout,the jungle bunch,0
Sprout,The Mighty Jungle,20
Sprout,The Pajanimals,242
Sprout,tree fu tom,68
Sprout,yaya & zouk,0
Sprout,yaya and zouk,125
Sprout,Zerby Derby,147
Sprout,Zou,341
syfy,,0
syfy,12 Monkeys,0
syfy,31 days of halloween,0
syfy,6 souls,0
syfy,Bitten,1522
syfy,"buy gold, at-cost!",0
syfy,childhood's end,0
syfy,Childhoods End,0
syfy,colony,0
syfy,Dark Matter,0
syfy,Defiance,118
syfy,dominion,107
syfy,doomsday prophecy,0
syfy,dragon blades spectacular,0
syfy,face off,1899
syfy,Ghost Hunters,0
syfy,grave halloween,0
syfy,Haunting,14
syfy,Haven,75
syfy,heebie jeebies,0
syfy,helix,0
syfy,Hunters,0
syfy,Killjoys,238
syfy,lady in the water,0
syfy,Lavalantula,0
syfy,Lost Girl,0
syfy,mothman,0
syfy,no title,3
syfy,Olympus,15
syfy,Paranormal Witness,390
syfy,reactor,0
syfy,second screen,0
syfy,Sharknado 3,0
syfy,skyfall,0
syfy,syfy,0
syfy,Syfy Movies,143
syfy,tasmanian devils,0
syfy,The Expanse,1279
syfy,the haunting in connecticut 2: ghosts of georgia,0
syfy,the internet ruined my life,416
syfy,the magicians,7811
syfy,The Magicians en Espa¤ol,33
syfy,the twilight zone,0
syfy,Troy: Street Magic,20
syfy,wwe smackdown,0
syfy,Wynonna Earp,0
syfy,Z Nation,0
Telemundo,,0
Telemundo,afv latin america,14
Telemundo,Avenida Brasil,25
Telemundo,Bajo El Mismo Cielo,185
Telemundo,Boxeo Telemundo,3
Telemundo,Caso Cerrado,2975
Telemundo,Celia,1493
Telemundo,Decisiones,94
Telemundo,due¤os del para¡so,0
Telemundo,el senor de los cielos,0
Telemundo,El Se¤or de los Cielos 3,1178
Telemundo,Enfoque,19
Telemundo,Eva La Trailera,3856
Telemundo,Gran Hermano,1564
Telemundo,gran hermano: clips exclusivos,0
Telemundo,gran hermano: galas de expulsi¢n,294
Telemundo,gran hermano: galas de nominaci¢n,137
Telemundo,gran hermano: la novela,1641
Telemundo,La Querida del Centauro,8682
Telemundo,M s Mejor,0
Telemundo,Premier League,0
Telemundo,quien es quien,1511
Telemundo,Qui‚n es Qui‚n,1221
Telemundo,qu‚ culpa fatmagul,2446
Telemundo,Qu‚ Noche,82
Telemundo,Reportajes,52
Telemundo,S.O.S. Salva Mi Casa,5
Telemundo,senora acero,158
Telemundo,Se¤ora Acero,321
Telemundo,suelta la sopa,211
Telemundo,Tierra de Reyes,0
Telemundo,un nuevo dia,0
Telemundo,Ya Era Hora,4
Telemundo,ya era hora!,13
Telemundo Now,,0
usa,,0
usa,2 fast 2 furious,0
usa,Burn Notice,42
usa,CHRISLEY KNOWS BEST,14887
usa,colony,2902
usa,complications,0
usa,csi,417
usa,Donny!,34
usa,Graceland,0
usa,House,165
usa,law & order: criminal intent,0
usa,Law & Order: Special Victims Unit,0
usa,modern family,0
usa,Motive,1189
usa,Movies On USA,49
usa,Mr. Robot,3769
usa,NCIS,794
usa,NCIS: Los Angeles,541
usa,no title,1
usa,Playing House,254
usa,psych,0
usa,Royal Pains,155
usa,rush,0
usa,satisfaction,292
usa,Sirens,0
usa,SUITS,5670
usa,the fast and the furious,0
usa,the fast and the furious: tokyo drift,0
usa,usa live,0
usa,usa west x,0
usa,Westminster Kennel Club,6
usa,WHITE COLLAR,109
usa,wwe tough enough,0
